                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.458,                0.25532,                      1,                  1.396,              0.0001071,              0.0001071,              0.0001071
                      2,                 1.3908,                0.28723,                      1,                 1.3929,             0.00020569,             0.00020569,             0.00020569
                      3,                 1.3026,                0.31915,                      1,                 1.3753,             0.00028812,             0.00028812,             0.00028812
                      4,                 1.2497,                0.34043,                      1,                 1.3608,             0.00035439,             0.00035439,             0.00035439
                      5,                 1.2382,                0.29787,                      1,                 1.3614,             0.00040451,             0.00040451,             0.00040451
                      6,                 1.1721,                0.35106,                      1,                 1.3373,             0.00043847,             0.00043847,             0.00043847
                      7,                 1.0909,                0.37234,                      1,                 1.3275,             0.00041106,             0.00041106,             0.00041106
                      8,                 1.0675,                0.38298,                      1,                  1.315,             0.00041106,             0.00041106,             0.00041106
                      9,                 1.0746,                0.44681,                      1,                 1.2997,             0.00036057,             0.00036057,             0.00036057
                     10,                 1.0739,                0.42553,                      1,                 1.2926,             0.00031008,             0.00031008,             0.00031008
                     11,                 1.0804,                0.44681,                      1,                 1.2903,             0.00025959,             0.00025959,             0.00025959
                     12,                 1.0155,                0.47872,                      1,                  1.289,              0.0002091,              0.0002091,              0.0002091
                     13,                0.95592,                0.46809,                      1,                 1.2874,             0.00015861,             0.00015861,             0.00015861
                     14,                0.96058,                0.46809,                      1,                 1.2963,             0.00010812,             0.00010812,             0.00010812
